epoch,train_loss,train_top1,eval_loss,eval_top1,eval_top5
0,1.313857614994049,38.28125,1.512023402675646,17.808219243402352,100.0
1,1.0938385605812073,57.8125,1.5090811873135501,17.808219243402352,100.0
2,1.0528712928295136,63.90625,1.5052713199293233,17.808219243402352,100.0
3,1.0471136331558228,62.1875,1.501145765661649,17.808219243402352,100.0
4,0.9451018214225769,68.4375,1.496703523479096,18.26484015216566,100.0
5,0.941969633102417,69.375,1.4920239078399797,18.26484015216566,100.0
6,0.8185628414154053,74.0625,1.4872470370166377,19.178082161298082,100.0
7,0.8790923595428467,75.3125,1.482465792464339,19.178082161298082,100.0
8,0.8532730638980865,73.4375,1.477714800399188,19.63470316586429,100.0
9,0.8368396818637848,74.53125,1.4729681031344688,19.63470316586429,100.0
10,0.8693680703639984,75.3125,1.468098239811588,20.0913241704305,100.0
11,0.8349789321422577,76.09375,1.4634036342847292,20.547945174996713,100.0
12,0.7375317394733429,81.5625,1.4586621756967344,20.547945174996713,100.0
13,0.8290839314460754,80.15625,1.453997374669602,21.00456617956292,100.0
14,0.7970675528049469,80.3125,1.4494296181691837,21.46118718412913,100.0
15,0.7494762957096099,80.625,1.4449095203451914,21.46118718412913,100.0
16,0.820022052526474,75.9375,1.4403642225483237,21.917808188695343,100.0
17,0.7604985892772674,81.71875,1.435993210365783,21.917808188695343,100.0
18,0.7123165726661682,80.78125,1.43151514170921,21.917808188695343,100.0
19,0.718760222196579,82.96875,1.4269693126417187,21.917808188695343,100.0
20,0.8706559002399444,72.96875,1.422449288302905,22.83105019782776,100.0
21,0.738886970281601,84.6875,1.4180105304064816,23.287671202393973,100.0
22,0.6390431165695191,85.46875,1.413532287562819,23.287671202393973,100.0
23,0.79393470287323,77.5,1.4091681421619573,23.744292206960182,100.0
24,0.7718601644039154,81.40625,1.4047286831624977,24.20091321152639,100.0
25,0.5809205949306488,88.4375,1.4002183082441217,25.114155220658812,100.0
26,0.7347724080085755,84.375,1.3957453323825855,25.114155220658812,100.0
27,0.8257207036018371,78.59375,1.3912549753711647,25.114155220658812,100.0
28,0.9225679099559784,72.03125,1.386826676320812,26.484018234357443,100.0
29,0.7522758960723877,80.15625,1.382417283646048,27.39726024348986,100.0
30,0.7015063166618347,83.28125,1.3779503313918091,27.853881248056073,100.0
31,0.7638556599617005,80.0,1.3734272511582397,28.310502252622282,100.0
32,0.7876161634922028,82.03125,1.3689783479525075,27.853881248056073,100.0
33,0.7297466456890106,81.5625,1.3645686673247106,27.853881248056073,100.0
34,0.7501789391040802,82.65625,1.360119077168643,27.853881248056073,100.0
35,0.6934423565864563,85.9375,1.3557422825190575,28.310502252622282,100.0
36,0.6340664327144623,90.0,1.3513060546901128,28.310502252622282,100.0
37,0.7135714173316956,85.46875,1.346739488649586,28.76712325718849,100.0
38,0.6284463852643967,86.71875,1.3424148336393105,28.76712325718849,100.0
39,0.8034544825553894,82.65625,1.3380564652621474,29.223744283528088,100.0
40,0.6413369536399841,85.15625,1.3337930010878332,29.680365288094297,100.0
41,0.7461471617221832,82.03125,1.329355652473833,30.59360729722672,100.0
42,0.7041254669427872,85.78125,1.324987854587433,30.13698629266051,100.0
43,0.6215385168790817,88.4375,1.3206198030410836,30.59360729722672,100.0
44,0.7188936054706574,82.65625,1.316372567660188,31.50684930635914,100.0
45,0.6950887441635132,86.5625,1.31195029657181,31.50684930635914,100.0
46,0.6775597989559173,86.25,1.3076748385276968,31.50684928458575,100.0
47,0.7147119402885437,86.71875,1.3031924456766206,31.963470289151964,100.0
