Model,Accuracy,F1-Score,Sensitivity,Specificity,TPR,FPR,PPV,NPV,AUC,acc_1,acc_2,acc_3,acc_4
CSWin_64_12211_tiny_224_fold_0,0.867816091954023,0.868667028483705,0.8720540747979773,0.956027884278862,0.8720540747979773,0.5259426847662142,0.8670060518402923,0.9555553872973996,0.9578528538408488,0.951219512195122,0.8269230769230769,0.8181818181818182,0.8918918918918919
CSWin_64_12211_tiny_224_fold_1,0.8333333333333334,0.8480269508230035,0.8501605814739689,0.9417566289661866,0.8501605814739689,0.5098443223443223,0.8487933849775955,0.942490667450846,0.9344235911162472,0.9310344827586208,0.95,0.6862745098039216,0.8333333333333334
CSWin_64_12211_tiny_224_fold_2,0.7885714285714286,0.7922289041487655,0.7927527162576409,0.9286780273864904,0.7927527162576409,0.5037165775401069,0.7923169267707083,0.9288591392780466,0.9336759507077368,0.8529411764705882,0.8333333333333334,0.7021276595744681,0.782608695652174
CSWin_64_12211_tiny_224_fold_3,0.8275862068965517,0.8253436915018608,0.8318629625320555,0.9430802708309984,0.8318629625320555,0.5202922077922078,0.8219062679700977,0.9417843267269496,0.9691617804428444,0.9393939393939394,0.8214285714285714,0.7368421052631579,0.8297872340425532
CSWin_64_12211_tiny_224_fold_4,0.8114285714285714,0.8029986619432274,0.8058177467204376,0.9370266143665866,0.8058177467204376,0.4681605975723623,0.8172018966280031,0.938776511207862,0.9511483807513734,0.8085106382978723,0.9074074074074074,0.625,0.8823529411764706
