epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.3380174517631531,1.4026935329175976,27.39726033929276,100.0
1,1.2869479775428772,1.4017884284938307,27.39726033929276,100.0
2,1.1855510354042054,1.4004748270391874,27.39726033929276,100.0
3,1.0528947710990906,1.3987793574050136,27.853881343858973,100.0
4,0.9974239468574524,1.3967953343369646,27.39726033929276,100.0
5,0.9860653638839721,1.3945250081145055,27.39726033929276,100.0
6,0.9208670020103454,1.3921062200581102,26.94063933472655,100.0
7,0.8592794954776763,1.3895836420799499,27.39726024348986,100.0
8,0.9024154841899872,1.3869662905392581,28.310502274395667,100.0
9,0.9222332060337066,1.3842673933124978,28.310502274395667,100.0
10,0.9068269491195678,1.3815774139203982,28.76712327896188,100.0
11,0.8827440440654755,1.3788792504567533,29.223744283528088,100.0
12,0.8919091403484345,1.3761460487156698,30.59360729722672,100.0
13,0.9573445856571198,1.3733618172336386,31.50684930635914,100.0
14,0.9129560053348541,1.3706184337128242,31.96347045027502,100.0
15,0.8351532042026519,1.3678169996226759,31.96347045027502,100.0
16,0.889463084936142,1.3649571186875644,32.42009145484123,100.0
17,0.8363087117671967,1.3621710860021583,33.33333346397365,100.0
18,0.8979560017585755,1.359311165330617,33.78995446853986,100.0
19,0.9617555797100067,1.3564469041345326,34.24657547310607,100.0
20,0.9182191491127014,1.3536182369815704,34.24657547310607,100.0
21,0.8413588881492615,1.3507503744674056,34.24657547310607,100.0
22,0.8326736807823181,1.3478606090153733,34.24657547310607,100.0
23,0.8302236676216126,1.345014295077215,35.15981738643559,100.0
24,0.8802276015281677,1.3420440530123776,35.616438295198904,100.0
25,0.7703283607959748,1.3390789244272938,37.44292231346374,100.0
26,0.8509209156036377,1.3360642428811826,38.81278523135947,100.0
27,0.8139111995697021,1.3330739927074136,39.726027240491895,100.0
28,0.8804087281227112,1.3300321396083048,40.182648245058104,100.0
29,0.8170998275279999,1.3270195771570075,40.182648245058104,100.0
30,0.8160775184631348,1.323963772216344,39.726027240491895,100.0
31,0.8474089086055756,1.320904980511426,39.726027240491895,100.0
32,0.8426180243492126,1.3178433310495663,39.726027240491895,100.0
33,0.7757425367832184,1.314759321408729,39.726027240491895,100.0
34,0.8445492029190064,1.3116991933622317,39.726027240491895,100.0
35,0.8253799855709076,1.3085781265067182,41.095890393540195,100.0
36,0.7977353215217591,1.305481063176508,42.00913268137196,100.0
37,0.7815003514289856,1.3023237920787236,43.378995695070586,100.0
38,0.8723370194435119,1.2992549220176592,43.8356166996368,100.0
39,0.8478954255580902,1.2961253662631935,43.8356166996368,100.0
40,0.7391725778579712,1.2929920284715417,44.29223770420301,100.0
41,0.8099449872970581,1.2898653054346232,44.74885870876922,100.0
42,0.7801067173480988,1.2867451350982875,45.20547971333543,100.0
43,0.8286649882793427,1.2835244784072108,46.118721722467846,100.0
44,0.9570023834705352,1.280356895978048,46.118721722467846,100.0
45,0.8371891617774964,1.2772056925786686,48.40182641434343,100.0
46,0.8637419521808625,1.2740157858966148,48.40182641434343,100.0
47,0.8493943214416504,1.2708470473006435,49.31506842347585,100.0
48,0.7895566642284393,1.2676724832351893,48.85844741890964,100.0
49,0.7956181108951569,1.264473114928154,49.31506842347585,100.0
50,0.8796505391597748,1.2612744896379235,49.77168942804206,100.0
51,0.7936525344848633,1.2580811351401622,49.77168975899753,100.0
52,0.7407389342784881,1.2548566702838357,49.77168975899753,100.0
53,0.717057329416275,1.2516222228742626,49.77168975899753,100.0
54,0.9043428361415863,1.2484166415314697,49.77168975899753,100.0
55,0.9204692900180816,1.2451978355782216,49.31506875443132,100.0
56,0.8862720429897308,1.2419856999018422,50.22831076356374,100.0
57,0.8341492712497711,1.2387847236302345,51.14155277269616,100.0
58,0.7303560554981232,1.2355596768801616,51.14155277269616,100.0
59,0.9318655133247375,1.2323606455162779,51.14155277269616,100.0
